scenario_id,step,constraint_id,constraint,domain,racks_before,racks_after,relief_taken,relief,cost_library_key,risk,capex.value,capex.low,capex.high,capex.unit,capex.evidence,capex.label,capex.provenance,lead_time_weeks.value,lead_time_weeks.low,lead_time_weeks.high,lead_time_weeks.unit,lead_time_weeks.evidence,lead_time_weeks.label,lead_time_weeks.provenance
retained_air,1,rack_feed_tapoff,Rack feed / tap-off rating,electrical,0,0,True,Higher-rated tap-off units (and busway if ampacity does not allow),tapoff.unit,,6000.0,3000.0,12000.0,EUR/rack,E0_ASSUMPTION,Higher-rated tap-off units (and busway if ampacity does not allow) for 1 racks,bac2079ddc64,24,12,40,weeks,E0_ASSUMPTION,tap-off lead time,7a5fc57ce1e4
rdhx,1,rack_feed_tapoff,Rack feed / tap-off rating,electrical,0,0,True,Higher-rated tap-off units (and busway if ampacity does not allow),tapoff.unit,,6000.0,3000.0,12000.0,EUR/rack,E0_ASSUMPTION,Higher-rated tap-off units (and busway if ampacity does not allow) for 1 racks,bac2079ddc64,24,12,40,weeks,E0_ASSUMPTION,tap-off lead time,7a5fc57ce1e4
hybrid_dlc,1,rack_feed_tapoff,Rack feed / tap-off rating,electrical,0,0,True,Higher-rated tap-off units (and busway if ampacity does not allow),tapoff.unit,,6000.0,3000.0,12000.0,EUR/rack,E0_ASSUMPTION,Higher-rated tap-off units (and busway if ampacity does not allow) for 1 racks,bac2079ddc64,24,12,40,weeks,E0_ASSUMPTION,tap-off lead time,7a5fc57ce1e4
hybrid_dlc,2,residual_air_removal,Residual air load removal per rack,thermal,0,7,True,Add in-row cooling or rear-door heat exchangers for the residual air load,inrow_rdhx.per_rack,,63000.0,31500.0,126000.0,EUR/rack,E0_ASSUMPTION,Add in-row cooling or rear-door heat exchangers for the residual air load for 7 racks,683fbc5f115e,20,12,32,weeks,E0_ASSUMPTION,in-row / RDHx lead time,fe48412ff79a
hybrid_dlc,3,transformer_capacity,Transformer capacity,electrical,7,8,True,Replace / add transformer capacity (uprate ~60%),transformer.replacement,"Lead time, not construction, is usually the schedule driver.",1200000,600000.0,2400000.0,EUR,E0_ASSUMPTION,transformer and switchgear replacement,b8816fd15315,160.0,80,210,weeks,E0_ASSUMPTION,power transformer lead time,010015f8a59e
hybrid_dlc,4,ups_capacity,UPS capacity (protected load),electrical,8,12,True,Add UPS modules / new UPS block,ups.per_kW,,864000.0,422400.0,1817600.0,EUR,E0_ASSUMPTION,UPS module addition capex,1423200e04d9,30,20,52,weeks,E0_ASSUMPTION,UPS lead time,843c6ad78c29
hybrid_dlc,5,busway_ampacity,Busway ampacity,electrical,12,14,True,Replace busway with 800-1000 A and new tap-off units,busway.replacement,Requires hall outage or phased de-tenanting.,450000,225000.0,900000.0,EUR,E0_ASSUMPTION,busway replacement for one hall,74129e356449,36,24,52,weeks,E0_ASSUMPTION,busway and tap-off lead time,74ff17170551
hybrid_dlc,6,plant_capacity,Chilled-water plant capacity,thermal,14,22,True,Uprate chilled-water plant (+50%) or add a dedicated high-temperature loop,plant.uprate,A dedicated high-temperature loop is usually cheaper to run and should be compared against uprating legacy low-temperature plant.,900000,450000.0,1800000.0,EUR,E0_ASSUMPTION,chilled-water plant uprate,df9224a00794,44,30,70,weeks,E0_ASSUMPTION,chiller / dry cooler lead time,823a7da52136
hybrid_dlc,7,cdu_capacity,CDU capacity (derated to site water temperature),thermal,22,25,True,Add CDU capacity (one further unit per bank),cdu.addition,,180000,90000.0,360000.0,EUR,E0_ASSUMPTION,"additional row CDU, installed",e2a2ad42d89f,26,16,40,weeks,E0_ASSUMPTION,CDU lead time,77ae364db11a
hybrid_dlc,8,ups_capacity,UPS capacity (protected load),electrical,25,26,True,Add UPS modules / new UPS block,ups.per_kW,,864000.0,422400.0,1817600.0,EUR,E0_ASSUMPTION,UPS module addition capex,1423200e04d9,30,20,52,weeks,E0_ASSUMPTION,UPS lead time,843c6ad78c29
