scenario_id,constraint_id,constraint,domain,type,binds,racks_permitted,basis,relief,racks.value,racks.low,racks.high,racks.unit,racks.evidence,racks.label,racks.provenance
retained_air,rack_feed_tapoff,Rack feed / tap-off rating,electrical,gate,True,0,platform needs 205 [174–236] A (E0) per rack; installed tap-offs rated 63 A (E5),Higher-rated tap-off units (and busway if ampacity does not allow),0.0,0.0,0.0,racks,E3_ENGINEERING_ESTIMATE,racks permitted by tap-off rating,0ed54f27a7bd
retained_air,architecture_capability,Cooling architecture per-rack capability,thermal,gate,False,0,retained_air is practically capable of 22 [15–25] kW (E0) per rack; the target platform draws 135 [132–142] kW (E0),,0.0,0.0,0.0,racks,E3_ENGINEERING_ESTIMATE,racks permitted by the chosen cooling architecture,d00a9bf8ee8f
retained_air,residual_air_removal,Residual air load removal per rack,thermal,gate,False,0,135 [132–142] kW (E0) of air-side load per rack against 9 kW (E3) the hall can remove per position,Add in-row cooling or rear-door heat exchangers for the residual air load,0.0,0.0,0.0,racks,E3_ENGINEERING_ESTIMATE,racks permitted by per-position air removal capacity,f4a1ba2d77f0
retained_air,transformer_capacity,Transformer capacity,electrical,capacity,False,6,"1,330 [845–1,810] kW (E3) usable after redundancy and derating",Replace / add transformer capacity (uprate ~60%),6,3,10,racks,E0_ASSUMPTION,(transformer headroom available for new IT load / GB300 NVL72 rack TDP) (floored to whole racks),522079c3acd3
retained_air,ups_capacity,UPS capacity (protected load),electrical,capacity,False,8,"1,100 kW (E0) of protected-load headroom after N+1 redundancy",Add UPS modules / new UPS block,8,7,8,racks,E0_ASSUMPTION,(UPS headroom for new IT load / GB300 NVL72 rack TDP) (floored to whole racks),c8e62be34b0a
retained_air,busway_ampacity,Busway ampacity,electrical,capacity,False,12,"8 run(s) at 400 A derated to 0.8 -> 1,720 kW (E0)",Replace busway with 800-1000 A and new tap-off units,12,12,13,racks,E0_ASSUMPTION,(total usable busway capacity in hall / GB300 NVL72 rack TDP) (floored to whole racks),3112da34d3e7
retained_air,grid_firm_capacity,Firm supply (grid import + behind-the-meter),electrical,capacity,False,23,"4,600 kW (E3) of firm-supply headroom at PUE 1.45 [1.35–1.6]",Grid reinforcement / new connection capacity from the DSO,23,20,25,racks,E0_ASSUMPTION,(firm supply headroom available for new IT load / GB300 NVL72 rack TDP) (floored to whole racks),3019d9802cec
retained_air,plant_capacity,Chilled-water plant capacity,thermal,capacity,False,140,"1,900 kW (E3) of plant headroom against 13.5 [10.6–21.3] kW (E0) per rack — residual air load only (liquid rejected to a dedicated high-temperature loop)",Uprate chilled-water plant (+50%) or add a dedicated high-temperature loop,140,89,179,racks,E0_ASSUMPTION,(chilled-water plant headroom / gb300_nvl72 residual air load per rack) (floored to whole racks),2a32802480d0
retained_air,floor_space,Available rack positions,physical,capacity,False,180,180 of 560 positions available in DH-02,De-tenant further positions / release white space,180,180,180,racks,E3_ENGINEERING_ESTIMATE,rack positions available in hall (floored to whole racks),659e992bdc64
retained_air,floor_loading,Floor loading,physical,gate,False,,"972 [894–1,050] kg/m*m (E0) imposed against 1,224 kg/m2 (E5) design capacity",Load spreading / remove raised floor and deploy on slab,,,,,,,
retained_air,tcs_supply_achievable,Achievable facility water temperature,thermal,gate,False,,TCS target 30 [27–32] degC (E0) needs facility water at or below 25 [21–28] degC (E0); existing chilled-water plant delivers 6 degC (E3),Adiabatic assist plus trim chiller on the high-temperature loop,,,,,,,
retained_air,cdu_capacity,CDU capacity,thermal,capacity,False,,architecture does not use CDUs,,,,,,,,
retained_air,hydraulic_flow,Hydraulic flow capacity,thermal,capacity,False,,no liquid circuit in this architecture,,,,,,,,
rdhx,rack_feed_tapoff,Rack feed / tap-off rating,electrical,gate,True,0,platform needs 205 [174–236] A (E0) per rack; installed tap-offs rated 63 A (E5),Higher-rated tap-off units (and busway if ampacity does not allow),0.0,0.0,0.0,racks,E3_ENGINEERING_ESTIMATE,racks permitted by tap-off rating,0ed54f27a7bd
rdhx,architecture_capability,Cooling architecture per-rack capability,thermal,gate,False,0,rdhx is practically capable of 60 [20–80] kW (E0) per rack; the target platform draws 135 [132–142] kW (E0),,0.0,0.0,0.0,racks,E3_ENGINEERING_ESTIMATE,racks permitted by the chosen cooling architecture,d00a9bf8ee8f
rdhx,residual_air_removal,Residual air load removal per rack,thermal,gate,False,0,135 [132–142] kW (E0) of air-side load per rack against 9 kW (E3) the hall can remove per position,Add in-row cooling or rear-door heat exchangers for the residual air load,0.0,0.0,0.0,racks,E3_ENGINEERING_ESTIMATE,racks permitted by per-position air removal capacity,f4a1ba2d77f0
rdhx,transformer_capacity,Transformer capacity,electrical,capacity,False,7,"1,330 [845–1,810] kW (E3) usable after redundancy and derating",Replace / add transformer capacity (uprate ~60%),7,4,10,racks,E0_ASSUMPTION,(transformer headroom available for new IT load / GB300 NVL72 rack TDP) (floored to whole racks),b42d15c1889f
rdhx,ups_capacity,UPS capacity (protected load),electrical,capacity,False,8,"1,100 kW (E0) of protected-load headroom after N+1 redundancy",Add UPS modules / new UPS block,8,7,8,racks,E0_ASSUMPTION,(UPS headroom for new IT load / GB300 NVL72 rack TDP) (floored to whole racks),c8e62be34b0a
rdhx,busway_ampacity,Busway ampacity,electrical,capacity,False,12,"8 run(s) at 400 A derated to 0.8 -> 1,720 kW (E0)",Replace busway with 800-1000 A and new tap-off units,12,12,13,racks,E0_ASSUMPTION,(total usable busway capacity in hall / GB300 NVL72 rack TDP) (floored to whole racks),3112da34d3e7
rdhx,plant_capacity,Chilled-water plant capacity,thermal,capacity,False,14,"1,900 kW (E3) of plant headroom against 135 [132–142] kW (E0) per rack — full rack load (liquid rejected into the existing plant)",Uprate chilled-water plant (+50%) or add a dedicated high-temperature loop,14,13,14,racks,E0_ASSUMPTION,(chilled-water plant headroom / GB300 NVL72 rack TDP) (floored to whole racks),b25735b9b289
rdhx,grid_firm_capacity,Firm supply (grid import + behind-the-meter),electrical,capacity,False,25,"4,600 kW (E3) of firm-supply headroom at PUE 1.35 [1.28–1.45]",Grid reinforcement / new connection capacity from the DSO,25,22,27,racks,E0_ASSUMPTION,(firm supply headroom available for new IT load / GB300 NVL72 rack TDP) (floored to whole racks),e0fe09c6e5bb
rdhx,hydraulic_flow,Hydraulic flow capacity,thermal,capacity,False,69,"9,000 l/min (E3) available against 130 [120–140] l/min (E0) per rack (~1.45 l/min/kW at 10 K delta-T)",Uprate pumps and secondary pipework,69,64,75,racks,E0_ASSUMPTION,racks permitted by available pumped flow (floored to whole racks),a0c7fccb5cd0
rdhx,floor_space,Available rack positions,physical,capacity,False,180,180 of 560 positions available in DH-02,De-tenant further positions / release white space,180,180,180,racks,E3_ENGINEERING_ESTIMATE,rack positions available in hall (floored to whole racks),659e992bdc64
rdhx,floor_loading,Floor loading,physical,gate,False,,"972 [894–1,050] kg/m*m (E0) imposed against 1,224 kg/m2 (E5) design capacity",Load spreading / remove raised floor and deploy on slab,,,,,,,
rdhx,tcs_supply_achievable,Achievable facility water temperature,thermal,gate,False,,TCS target 30 [27–32] degC (E0) needs facility water at or below 25 [21–28] degC (E0); existing chilled-water plant delivers 6 degC (E3),Adiabatic assist plus trim chiller on the high-temperature loop,,,,,,,
rdhx,cdu_capacity,CDU capacity,thermal,capacity,False,,architecture does not use CDUs,,,,,,,,
hybrid_dlc,rack_feed_tapoff,Rack feed / tap-off rating,electrical,gate,True,0,platform needs 205 [174–236] A (E0) per rack; installed tap-offs rated 63 A (E5),Higher-rated tap-off units (and busway if ampacity does not allow),0.0,0.0,0.0,racks,E3_ENGINEERING_ESTIMATE,racks permitted by tap-off rating,0ed54f27a7bd
hybrid_dlc,residual_air_removal,Residual air load removal per rack,thermal,gate,False,0,13.5 [10.6–21.3] kW (E0) of air-side load per rack against 9 kW (E3) the hall can remove per position,Add in-row cooling or rear-door heat exchangers for the residual air load,0.0,0.0,0.0,racks,E3_ENGINEERING_ESTIMATE,racks permitted by per-position air removal capacity,f4a1ba2d77f0
hybrid_dlc,transformer_capacity,Transformer capacity,electrical,capacity,False,7,"1,330 [845–1,810] kW (E3) usable after redundancy and derating",Replace / add transformer capacity (uprate ~60%),7,4,11,racks,E0_ASSUMPTION,(transformer headroom available for new IT load / GB300 NVL72 rack TDP) (floored to whole racks),61fde960e2d6
hybrid_dlc,ups_capacity,UPS capacity (protected load),electrical,capacity,False,8,"1,100 kW (E0) of protected-load headroom after N+1 redundancy",Add UPS modules / new UPS block,8,7,8,racks,E0_ASSUMPTION,(UPS headroom for new IT load / GB300 NVL72 rack TDP) (floored to whole racks),c8e62be34b0a
hybrid_dlc,busway_ampacity,Busway ampacity,electrical,capacity,False,12,"8 run(s) at 400 A derated to 0.8 -> 1,720 kW (E0)",Replace busway with 800-1000 A and new tap-off units,12,12,13,racks,E0_ASSUMPTION,(total usable busway capacity in hall / GB300 NVL72 rack TDP) (floored to whole racks),3112da34d3e7
hybrid_dlc,plant_capacity,Chilled-water plant capacity,thermal,capacity,False,14,"1,900 kW (E3) of plant headroom against 135 [132–142] kW (E0) per rack — full rack load (liquid rejected into the existing plant)",Uprate chilled-water plant (+50%) or add a dedicated high-temperature loop,14,13,14,racks,E0_ASSUMPTION,(chilled-water plant headroom / GB300 NVL72 rack TDP) (floored to whole racks),b25735b9b289
hybrid_dlc,cdu_capacity,CDU capacity (derated to site water temperature),thermal,capacity,False,22,"2,700 [2,070–2,970] kW (E0) usable against 122 [112–131] kW (E0) of liquid load per rack; 24 [21–26] degC (E0) approach available",Add CDU capacity (one further unit per bank),22,15,26,racks,E0_ASSUMPTION,(CDU-ROW-assumed usable capacity at site conditions / gb300_nvl72 liquid load per rack) (floored to whole racks),25573ad8fd4c
hybrid_dlc,grid_firm_capacity,Firm supply (grid import + behind-the-meter),electrical,capacity,False,26,"4,600 kW (E3) of firm-supply headroom at PUE 1.3 [1.22–1.4]",Grid reinforcement / new connection capacity from the DSO,26,23,28,racks,E0_ASSUMPTION,(firm supply headroom available for new IT load / GB300 NVL72 rack TDP) (floored to whole racks),0c1ea86d840c
