digest,quantity,evidence,model,assumptions,sources,derived_from
a4e3fd845acb,deployable IT load,E0_ASSUMPTION,envelope.it_load@0.1,,,310c71a3d6f8
310c71a3d6f8,(deployable rack count * GB300 NVL72 rack TDP),E0_ASSUMPTION,arith:*@0.1,,,8720a64fe164 e6476e7cd728
8720a64fe164,deployable rack count,E3_ENGINEERING_ESTIMATE,input@0.1,,,
e6476e7cd728,GB300 NVL72 rack TDP,E0_ASSUMPTION,input@0.1,,"Lenovo Press LP2357, GB300 NVL72, 2026 [V] | NVIDIA NVL72 AI Factory Reference Architecture, 2026 [V]",
0db17abd8f0c,total facility load,E0_ASSUMPTION,envelope.facility_load@0.1,,,5ad604c99130
5ad604c99130,"(deployable IT load * PUE, retained air architecture)",E0_ASSUMPTION,arith:*@0.1,,,a4e3fd845acb 9f96820c74f4
9f96820c74f4,"PUE, retained air architecture",E0_ASSUMPTION,input@0.1,,"Uptime Institute Global Survey, 2025",
698a41adaa1e,total capex,E0_ASSUMPTION,economics.total_capex@0.1,,,42124c465674
42124c465674,(in-hall conversion capex + capex of relief measures taken along the headroom ladder),E0_ASSUMPTION,arith:+@0.1,,,31f38f538fc9 8e07973d623f
31f38f538fc9,in-hall conversion capex,E0_ASSUMPTION,economics.conversion_capex@0.1,,,12d42de862c7
12d42de862c7,"(deployable racks * in-hall conversion per rack (manifolds, QDs, rack fit-out, commissioning))",E0_ASSUMPTION,arith:*@0.1,,,a5636a899f1a ee94bf911a63
a5636a899f1a,deployable racks,E3_ENGINEERING_ESTIMATE,input@0.1,,,
ee94bf911a63,"in-hall conversion per rack (manifolds, QDs, rack fit-out, commissioning)",E0_ASSUMPTION,input@0.1,"Excludes IT hardware, migration and lost tenancy revenue. Public retrofit benchmarks span 2-12 MEUR per MW; neither is a benchmark. | Library default, not a price. Replace with a quotation before this figure supports a capital decision.",,
8e07973d623f,capex of relief measures taken along the headroom ladder,E0_ASSUMPTION,input@0.1,Class 5 (order of magnitude): -50% / +100%,,
fa43210b5cde,capex per kW (no deployable load),E1_MODEL,input@0.1,,,
8c2b146e0f84,annual energy cost,E0_ASSUMPTION,economics.energy_cost@0.1,,,67663b4f1470
67663b4f1470,(annual site energy for the deployed load * all-in electricity price),E0_ASSUMPTION,arith:*@0.1,,,acfbc7cf2b8d ee5beeda32eb
acfbc7cf2b8d,annual site energy for the deployed load,E0_ASSUMPTION,convert@0.1,,,ed28dc28ba9c
ed28dc28ba9c,((total facility load * annual average rack utilisation) * hours per year),E0_ASSUMPTION,arith:*@0.1,,,aace3cbdb363 dd3de22bd110
aace3cbdb363,(total facility load * annual average rack utilisation),E0_ASSUMPTION,arith:*@0.1,,,0db17abd8f0c d5eba6828974
d5eba6828974,annual average rack utilisation,E5_CUSTOMER_DATA,input@0.1,,,
